nome_fundo;tipo_fundo;aplicacao_min;taxa_adm;cot_resgate;liq_resgate;taxa_risco;rent_12_meses;rent_24_meses;rent_36_meses;data_inicio;benchmark;taxa_performance;link
Claritas Total Return Advisory F... ;Multimercado;1000;1.92;"D+31

(Dias Corridos)";"D+2

(Dias Úteis)";10;N/D;N/D;N/D;08/04/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39959828000107_v10.pdf
Trend Bolsa Americana Dolar FIA ;Internacional;100;0.50;"D+0

(Dias Úteis)";"D+2

(Dias Úteis)";26;28.66;101.54;180.49;28/12/2018;S&P 500;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31874833000105_v135.pdf
Trend Prata Dólar FIM ;Internacional;100;0.50;"D+5

(Dias Corridos)";"D+1

(Dias Úteis)";30;-16.13;N/D;N/D;09/10/2020;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38229922000148_v42.pdf
Legg Mason Clearbridge US Large... ;Internacional;5000;1.00;"D+1

(Dias Úteis)";"D+4

(Dias Úteis)";26;18.23;49.21;92.45;24/11/2017;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_28320600000156_v127.pdf
Kad IMAB FIC FIRF LP ;Renda Fixa Pós-Fixado;500;0.75;"D+5

(Dias Úteis)";"D+1

(Dias Úteis)";10;N/D;N/D;N/D;13/12/2021;IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_43778868000120.pdf
AF Invest Geraes FIRF CP ;Renda Fixa Pós-Fixado;1000;0.40;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;5.68;4.64;11.02;11/09/2008;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_09720734000110_v151.pdf
Tork FIC FIA ;Renda Variável;5000;1.93;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";43;-29.69;-30.24;5.32;31/10/2018;IPCA + YIELD IMAB5+;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31493876000140_v73.pdf
Capitânia TOP Crédito Privado FI... ;Renda Fixa Pós-Fixado;1000;0.32;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;7.22;8.17;15.62;21/05/2008;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_13615411000133_v159.pdf
Kadima Long Bias FIM ;Renda Variável;500;1.75;"D+10

(Dias Corridos)";"D+2

(Dias Úteis)";31;12.37;13.92;N/D;26/08/2019;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33378392000186_v5.pdf
AZ Quest Yield FIC FI Renda Fixa... ;Renda Fixa Pré-Fixado/Inflação;1000;1.00;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;1.12;3.97;13.02;20/09/2012;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_16599968000116_v152.pdf
Claritas Long Bias Advisory FIC... ;Renda Variável;500;1.92;"D+31

(Dias Corridos)";"D+2

(Dias Úteis)";34;-12.61;N/D;N/D;10/07/2020;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37108084000191_v26.pdf
Trend Dynamic Fintechs FIM ;Internacional;100;0.50;"D+4

(Dias Corridos)";"D+2

(Dias Úteis)";30;N/D;N/D;N/D;10/09/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_42407958000141.pdf
Garde Vallon Advisory FIC FIM ;Multimercado;500;1.89;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";15;5.80;N/D;N/D;03/09/2020;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37893341000143_v29.pdf
XP Special Situations FIC FIM CP... ;Renda Fixa Pós-Fixado;100000;1.75;"D+360

(Dias Corridos)";"D+2

(Dias Úteis)";30;12.98;44.57;N/D;24/07/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34081651000175_v92.pdf
Wellington Schroder Gaia FIC FIM... ;Internacional;1000;0.65;"D+7

(Dias Corridos)";"D+3

(Dias Úteis)";10;7.61;N/D;N/D;12/08/2020;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37405108000174_v25.pdf
Vinci Total Return FIC FIM ;Multimercado;500;1.92;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;12.82;37.06;N/D;27/12/2019;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35636909000115_v6.pdf
Equitas Selection FIC FIA ;Renda Variável;5000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";45;-37.90;-47.59;-16.30;06/07/2010;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_12004203000135_v131.pdf
GAP Absoluto Advisory FIC FIM ;Multimercado;500;1.95;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";15;N/D;N/D;N/D;18/10/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_42287819000121.pdf
AZ Quest Ações FIC FIA ;Renda Variável;1000;2.00;"D+1

(Dias Úteis)";"D+2

(Dias Úteis)";42;-21.11;-22.73;-1.43;01/06/2005;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_07279657000189_v165.pdf
Legacy Capital Advisory FIC FIM ;Multimercado;500;1.90;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";15;4.06;15.79;31.43;29/06/2018;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_30566221000192_v107.pdf
"Indie 2 FIC FIA 
ESG";Renda Variável;5000;1.34;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";45;-30.38;-34.13;N/D;27/12/2019;-;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35646163000120_v25.pdf
"Nordea Alfa 10 Dolar Advisory FI... 
ESG";Internacional;500;0.55;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";20;N/D;N/D;N/D;19/02/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39602877000198_v17.pdf
Trend Saúde Global FIM ;Internacional;100;0.50;"D+5

(Dias Corridos)";"D+1

(Dias Úteis)";20;13.11;N/D;N/D;16/10/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37895175000114_v50.pdf
Selection Multimercado FIC FIM ;Multimercado;100;0.75;"D+10

(Dias Corridos)";"D+2

(Dias Úteis)";8;3.75;4.98;13.78;25/08/2016;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_24582449000173_v190.pdf
VRB FIC FIA ;Renda Variável;10000;1.00;"D+45

(Dias Corridos)";"D+2

(Dias Úteis)";30;N/D;N/D;N/D;28/06/2021;IBOV;10.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_41681126000156_v12.pdf
Kiron Institucional FIA ;Renda Variável;1000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";42;-22.47;-26.60;13.65;22/03/2018;IBRX-100;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_29054793000103_v9.pdf
Bradesco Asset FIC FIA Crescimen... ;Renda Variável;1000;1.50;"D+14

(Dias Corridos)";"D+2

(Dias Úteis)";42;-14.16;-18.79;N/D;30/09/2019;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34054884000189_v54.pdf
Western Asset US Index 500 FIM ;Internacional;1000;1.00;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";26;27.18;44.78;89.70;30/04/2013;S&P 500;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_17453850000148_v170.pdf
Giant Zarathustra Advisory FIC F... ;Multimercado;10000;0.95;"D+30

(Dias Corridos)";"D+3

(Dias Úteis)";26;7.92;N/D;N/D;31/07/2020;CDI;27.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35940266000107_v26.pdf
"Trend Lideranças Femininas FIM 
ESG";Internacional;100;0.50;"D+5

(Dias Corridos)";"D+1

(Dias Úteis)";26;9.33;N/D;N/D;11/09/2020;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37887464000171_v32.pdf
Bozano Growth Advisory FIC FIM ;Alternativo;100000;-;;;50;87.07;134.78;168.12;16/03/2018;IPCA;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_27945399000130_v11.pdf
Aberdeen China Equity Dólar Advi... ;Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";28;N/D;N/D;N/D;06/04/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_40140521000169_v11.pdf
ARX Denali FIC FIRF CP ;Renda Fixa Pós-Fixado;1000;0.40;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";3;7.27;9.02;15.80;24/08/2018;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_30921203000181_v101.pdf
Perfin Equity Hedge FIC FIM ;Multimercado;1000;1.35;"D+15

(Dias Corridos)";"D+1

(Dias Úteis)";26;-18.99;-29.68;-19.80;15/10/2007;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_09068336000160_v62.pdf
Trend Ouro FIM ;Internacional;100;0.50;"D+4

(Dias Corridos)";"D+2

(Dias Úteis)";26;-4.50;14.52;40.25;30/09/2015;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_22963439000152_v186.pdf
AZ Quest Multi Max FIC FIM ;Multimercado;1000;2.00;"D+29

(Dias Corridos)";"D+1

(Dias Úteis)";15;-2.29;-0.24;13.25;24/02/2017;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26323079000185_v131.pdf
Quasar LATAM Bonds BRL FIM CP IE ;Internacional;1000;1.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;5.48;12.03;23.81;06/05/2015;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_21732619000160_v51.pdf
Mongeral Aegon Renda Fixa Fundo... ;Renda Fixa Pós-Fixado;1000;0.30;"D+0

(Dias Úteis)";"D+0

(Dias Úteis)";6;5.19;6.94;13.28;01/09/2010;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_11435287000107_v135.pdf
XP Corporate Light FIRF CP LP ;Renda Fixa Pós-Fixado;5000;0.50;"D+14

(Dias Corridos)";"D+1

(Dias Úteis)";6;7.36;7.86;14.41;03/11/2009;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_11046179000134_v205.pdf
Verde AM Mundi Ações Globais BRL... ;Internacional;10000;1.50;"D+5

(Dias Corridos)";"D+5

(Dias Úteis)";26;13.44;N/D;N/D;29/06/2020;-;10.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37013129000144_v43.pdf
eTrend RPM FIC FIM ;Multimercado;100;1.00;"D+7

(Dias Corridos)";"D+2

(Dias Úteis)";8;N/D;N/D;N/D;10/06/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_41127229000179.pdf
BlackRock Dynamic High Income FI... ;Internacional;10000;0.90;"D+1

(Dias Úteis)";"D+4

(Dias Úteis)";23;11.36;14.92;N/D;26/06/2019;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33361831000148_v66.pdf
JP Morgan Global Macro Opportuni... ;Internacional;5000;1.25;"D+1

(Dias Úteis)";"D+4

(Dias Úteis)";15;4.42;18.84;25.09;01/10/2015;LIBOR;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_19821469000110_v128.pdf
Claritas Valor Feeder FIA ;Renda Variável;1000;0.70;"D+31

(Dias Corridos)";"D+2

(Dias Úteis)";37;-11.77;-8.81;24.50;17/03/2010;IBRX;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_11403850000157_v150.pdf
BOCOM BBM Corporate Credit High... ;Renda Fixa Pós-Fixado;1000;0.90;"D+180

(Dias Corridos)";"D+1

(Dias Úteis)";26;N/D;N/D;N/D;17/12/2021;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_42888163000100.pdf
XP Macro Juros Ativo FIC FIRF LP ;Renda Fixa Pré-Fixado/Inflação;10000;0.90;"D+0

(Dias Corridos)";"D+1

(Dias Úteis)";6;3.75;10.32;N/D;12/11/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34867766000190_v109.pdf
RPS Long Bias Advisory D30 FIC F... ;Renda Variável;500;1.70;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";29;-10.31;-3.00;N/D;22/11/2019;IBRX;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34706586000126_v44.pdf
EB Fibra FIP Multiestrategia ;Alternativo;101082;2.00;;;50;17.50;N/D;N/D;28/10/2020;IPCA + 5%;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_31392355000105.pdf
Opportunity Market FIC DE FIM ;Multimercado;5000;1.50;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;3.91;5.96;15.09;03/06/1996;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_00947958000194_v196.pdf
Verde AM Scena Advisory FIC FIM ;Multimercado;500;1.50;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";11;-1.13;6.70;21.06;17/04/2017;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_24048538000134_v100.pdf
ARX Long Term FIC FIA ;Renda Variável;1000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";39;-22.50;-22.39;0.23;05/09/2008;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_10237480000162_v141.pdf
Morgan Stanley Global Brands Dol... ;Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;21.94;N/D;N/D;19/08/2020;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37331214000150_v37.pdf
Helius Lux Long Biased FIC FIM ;Renda Variável;1000;1.85;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;3.32;N/D;N/D;30/10/2020;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38954217000103_v26.pdf
Icatu Vanguarda Incentivado em I... ;Renda Fixa Pré-Fixado/Inflação;500;0.50;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";10;7.52;19.80;N/D;27/12/2019;IPCA;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34793170000192_v38.pdf
ARX Elbrus Pro Advisory I FIC In... ;Renda Fixa Pré-Fixado/Inflação;500;0.70;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";25;N/D;N/D;N/D;08/04/2021;IMA_B;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39959156000130_v12.pdf
Moneda LATAM Credit Advisory FIC... ;Internacional;500;0.70;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";10;2.17;N/D;N/D;06/07/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_36046327000141_v21.pdf
Trend Inflação Geral FIRF LP ;Renda Fixa Pré-Fixado/Inflação;100;0.30;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";10;-2.28;3.50;N/D;31/10/2019;IMA_B;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34475424000124_v80.pdf
Moat Capital Long Bias Advisory... ;Renda Variável;10000;1.85;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";38;0.99;11.07;N/D;29/03/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31392336000170_v78.pdf
Trend Ouro Dólar FIM ;Internacional;100;0.50;"D+4

(Dias Corridos)";"D+2

(Dias Úteis)";20;-2.99;49.14;N/D;30/12/2019;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35609786000123_v96.pdf
Porto Seguro Ipê RF FIC FI CP LP ;Renda Fixa Pós-Fixado;3000;0.50;"D+44

(Dias Corridos)";"D+1

(Dias Úteis)";6;7.46;10.35;N/D;29/11/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35378376000119_v38.pdf
Genoa Capital Arpa Advisory FIC... ;Renda Variável;500;1.90;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;N/D;N/D;N/D;30/04/2021;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39317019000100_v13.pdf
Kadima II FIC de FIM ;Multimercado;500;2.00;"D+10

(Dias Corridos)";"D+1

(Dias Úteis)";26;5.87;9.67;13.46;30/04/2008;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_09441308000147_v166.pdf
Moat Capital Advisory FIC FIA ;Renda Variável;20000;1.85;"D+15

(Dias Corridos)";"D+2

(Dias Úteis)";43;-24.01;N/D;N/D;19/03/2020;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35354967000156_v44.pdf
Forpus Multiestratégia FIM LP ;Multimercado;1000;1.75;"D+14

(Dias Corridos)";"D+2

(Dias Úteis)";20;5.68;N/D;N/D;03/09/2020;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37887638000104_v11.pdf
Porto Seguro Clássico FIC Renda... ;Renda Fixa Pré-Fixado/Inflação;3000;0.50;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;3.14;6.14;13.75;06/07/1998;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_02603461000184_v159.pdf
Trend Pré-Fixado FIRF LP ;Renda Fixa Pré-Fixado/Inflação;100;0.30;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;-2.37;2.89;14.09;18/09/2018;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31145851000156_v133.pdf
Trend XP Inc FIC FIA IE ;Renda Variável;100;-;"D+5

(Dias Corridos)";"D+3

(Dias Úteis)";58;-26.21;-26.24;N/D;13/12/2019;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35625840000124_v100.pdf
Sharp Long Biased Advisory FIC F... ;Renda Variável;5000;1.94;"D+90

(Dias Corridos)";"D+2

(Dias Úteis)";26;-11.20;22.45;N/D;28/06/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33497084000170_v68.pdf
Kadima Long Term FIM ;Multimercado;500;2.00;"D+10

(Dias Corridos)";"D+1

(Dias Úteis)";26;13.14;17.57;24.55;02/01/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31923761000149_v22.pdf
Wellington Asia Technology Dolar... ;Internacional;500;0.80;"D+2

(Dias Úteis)";"D+5

(Dias Úteis)";36;10.77;N/D;N/D;04/11/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38443098000124_v45.pdf
Riza Statheros FIC FIM CP ;Renda Fixa Pós-Fixado;500;0.80;"D+85

(Dias Corridos)";"D+1

(Dias Úteis)";10;N/D;N/D;N/D;30/07/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_42260903000151.pdf
Trend Tecnologia Americana FIM ;Internacional;100;0.50;"D+4

(Dias Corridos)";"D+2

(Dias Úteis)";24;23.80;68.84;N/D;15/07/2019;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32319351000156_v115.pdf
MZK Dinâmico Advisory FIC FIM ;Multimercado;500;1.80;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";8;0.71;3.51;13.91;30/04/2018;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_29762338000162_v99.pdf
Vinland Macro Advisory FIC FIM ;Multimercado;1000;1.90;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";10;8.10;17.18;31.08;29/03/2018;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_28581109000189_v115.pdf
Geo Smart Beta de Qualidade em D... ;Internacional;1000;1.20;"D+15

(Dias Corridos)";"D+4

(Dias Úteis)";26;23.33;N/D;N/D;28/10/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_36352424000162.pdf
CA Indosuez Agilité FIRF CP ;Renda Fixa Pós-Fixado;1000;0.50;"D+4

(Dias Úteis)";"D+1

(Dias Úteis)";5;9.25;6.95;12.48;21/01/2016;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_12796232000187_v128.pdf
Morgan Stanley US Advantage Advi... ;Internacional;500;0.70;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;-10.50;N/D;N/D;05/11/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38542735000110_v31.pdf
Riza Daikon Advisory FIC FIM CP ;Renda Fixa Pós-Fixado;5000;0.80;"D+60

(Dias Corridos)";"D+1

(Dias Úteis)";8;5.90;N/D;N/D;30/03/2020;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_36436794000188_v54.pdf
Western Asset Valuation FIA ;Renda Variável;1000;2.50;"D+1

(Dias Úteis)";"D+2

(Dias Úteis)";40;-29.17;-29.19;-6.63;25/06/2010;IBOV;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_09087523000191_v42.pdf
Sharp Long Short 2X Advisory FIC... ;Multimercado;50000;1.95;"D+90

(Dias Corridos)";"D+1

(Dias Úteis)";26;N/D;N/D;N/D;31/03/2021;CDI;25.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_36326889000149_v9.pdf
Kapitalo Zeta Advisory FIC FIM ;Multimercado;100000;2.00;"D+60

(Dias Corridos)";"D+1

(Dias Úteis)";17;9.26;11.44;26.29;31/08/2018;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_30521581000178_v85.pdf
Apex Long Biased Advisory FIC FI... ;Renda Variável;500;1.90;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";37;-24.00;-28.40;N/D;09/08/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33345956000184_v69.pdf
RPS Global Macro Advisory FIC FI... ;Multimercado;5000;1.70;"D+30

(Dias Corridos)";"D+3

(Dias Úteis)";26;8.60;N/D;N/D;04/01/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39958274000123_v28.pdf
"Trend Energias Renovaveis FIM 
ESG";Internacional;100;0.50;"D+5

(Dias Corridos)";"D+1

(Dias Úteis)";35;N/D;N/D;N/D;26/02/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_40212831000141_v28.pdf
Canvas Classic II FIC FIM ;Multimercado;5000;1.95;"D+29

(Dias Corridos)";"D+1

(Dias Úteis)";8;-3.42;-0.63;10.01;13/01/2011;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_12907125000189_v132.pdf
Trend Ibovespa Balanceado FIM ;Renda Variável;100;0.30;"D+0

(Dias Úteis)";"D+3

(Dias Úteis)";26;-6.67;-1.93;N/D;17/05/2019;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32846325000186_v128.pdf
BNP Paribas Action FIC FIA ;Renda Variável;5000;2.00;"D+27

(Dias Corridos)";"D+2

(Dias Úteis)";36;-20.20;-16.54;15.04;22/09/2011;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_12239939000192_v152.pdf
Bahia AM Advisory FIC de FIM ;Multimercado;5000;1.37;"D+20

(Dias Corridos)";"D+1

(Dias Úteis)";6;1.73;1.40;N/D;12/06/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32862354000131_v79.pdf
Hashdex 20 Nasdaq Crypto Index F... ;Internacional;500;1.00;"D+5

(Dias Corridos)";"D+2

(Dias Úteis)";26;13.72;70.51;N/D;01/07/2019;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33736873000116_v47.pdf
CA Indosuez Vitesse FIRF Crédito... ;Renda Fixa Pós-Fixado;1000;0.50;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";6;8.83;7.24;13.00;16/08/2011;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_11447124000136_v131.pdf
"Trend ESG Brasil FIC FIA 
ESG";Renda Variável;100;0.50;"D+0

(Dias Úteis)";"D+2

(Dias Úteis)";34;-29.94;N/D;N/D;22/12/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39226116000189_v51.pdf
LIS Value FIA ;Renda Variável;100;2.00;"D+29

(Dias Úteis)";"D+1

(Dias Úteis)";26;-10.91;1.08;73.39;10/03/2016;IBRX;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_24325422000103_v6.pdf
JP Morgan Global Bond Opportunit... ;Internacional;5000;0.90;"D+1

(Dias Úteis)";"D+4

(Dias Úteis)";8;3.34;9.57;21.56;14/05/2018;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_29587389000103_v96.pdf
O3 Retorno Global Qualificado FI... ;Multimercado;5000;1.95;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";26;2.08;N/D;N/D;18/12/2020;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39958195000112_v20.pdf
Riza Lotus Plus Advisory FIC FIR... ;Renda Fixa Pré-Fixado/Inflação;500;0.50;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";6;N/D;N/D;N/D;29/10/2021;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_43917493000131.pdf
Canvas Dakar Long Bias FIC FIM ;Renda Variável;5000;1.90;"D+29

(Dias Corridos)";"D+3

(Dias Úteis)";39;-28.31;-35.46;-11.18;21/12/2017;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_28246652000120_v67.pdf
Apex Ações 30 FIC FIA ;Renda Variável;500;1.90;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";41;-18.51;-24.64;-0.90;20/08/2012;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_15862830000103_v172.pdf
